5.50 ,5.50 
5.50 ,5.50 
0.50 ,0.52 
1.00 ,0.97 
1.00 ,0.99 
1.50 ,1.46 
1.50 ,1.47 
1.50 ,1.46 
0.50 ,0.48 
0.50 ,0.45 
0.50 ,0.35 
0.50 ,0.53 
1.00 ,0.98 
1.00 ,0.65 
1.50 ,1.49 
1.50 ,1.52 
2.50 ,2.49 
1.00 ,0.96 
1.00 ,1.93 
2.50 ,2.49 
2.50 ,2.65 
3.00 ,2.99 
3.00 ,2.99 
3.50 ,3.47 
3.50 ,2.56 
2.50 ,2.49 
3.50 ,3.49 
2.00 ,2.56 
2.00 ,1.97 
2.00 ,1.98 
4.50 ,4.49 
4.50 ,4.48 
2.50 ,2.47 
2.50 ,2.55 
0.50 ,0.48 
0.50 ,0.49 
1.00 ,0.99 
1.00 ,1.05 
1.50 ,1.41 
1.50 ,1.50 
1.50 ,1.50 
1.50 ,1.50 
0.50 ,1.33 
0.50 ,0.48 
0.50 ,0.48 
1.00 ,1.00 
1.00 ,0.99 
1.50 ,1.47 
1.50 ,1.48 
2.50 ,2.45 
2.50 ,2.49 
1.00 ,0.95 
1.00 ,0.97 
2.50 ,2.49 
3.00 ,2.78 
3.00 ,2.79 
3.50 ,2.72 
3.50 ,3.47 
2.50 ,2.44 
2.50 ,2.46 
2.00 ,1.98 
2.00 ,1.99 
2.00 ,1.98 
2.00 ,1.94 
1.00 ,0.99 
1.00 ,1.00 
1.00 ,1.19 
3.00 ,2.99 
2.60 ,2.57 
2.60 ,2.13 
1.20 ,1.20 
1.20 ,1.18 
2.10 ,2.10 
2.10 ,3.20 
2.40 ,2.39 
2.40 ,2.40 
1.50 ,1.49 
1.50 ,1.50 
2.50 ,2.49 
2.50 ,2.48 
3.90 ,3.89 
3.90 ,3.90 
4.30 ,4.16 
4.30 ,4.29 
5.30 ,4.45 
5.30 ,5.30 
4.90 ,4.42 
4.90 ,4.91 
3.30 ,3.29 
3.30 ,3.30 
2.90 ,2.91 
3.30 ,3.53 
3.80 ,3.80 
3.80 ,3.96 
